Week,Amazon.com: (United States)
2/1/2015,52
2/8/2015,52
2/15/2015,52
2/22/2015,51
3/1/2015,51
3/8/2015,49
3/15/2015,49
3/22/2015,51
3/29/2015,51
4/5/2015,49
4/12/2015,48
4/19/2015,50
4/26/2015,48
5/3/2015,50
5/10/2015,50
5/17/2015,50
5/24/2015,52
5/31/2015,52
6/7/2015,53
6/14/2015,54
6/21/2015,55
6/28/2015,54
7/5/2015,57
7/12/2015,78
7/19/2015,58
7/26/2015,58
8/2/2015,58
8/9/2015,59
8/16/2015,60
8/23/2015,61
8/30/2015,58
9/6/2015,56
9/13/2015,55
9/20/2015,57
9/27/2015,56
10/4/2015,57
10/11/2015,57
10/18/2015,57
10/25/2015,57
11/1/2015,58
11/8/2015,61
11/15/2015,64
11/22/2015,88
11/29/2015,92
12/6/2015,82
12/13/2015,87
12/20/2015,81
12/27/2015,70
1/3/2016,55
1/10/2016,51
1/17/2016,52
1/24/2016,50
1/31/2016,49
2/7/2016,50
2/14/2016,50
2/21/2016,48
2/28/2016,47
3/6/2016,48
3/13/2016,47
3/20/2016,48
3/27/2016,48
4/3/2016,48
4/10/2016,48
4/17/2016,47
4/24/2016,47
5/1/2016,49
5/8/2016,49
5/15/2016,50
5/22/2016,49
5/29/2016,51
6/5/2016,50
6/12/2016,51
6/19/2016,51
6/26/2016,52
7/3/2016,52
7/10/2016,63
7/17/2016,51
7/24/2016,53
7/31/2016,53
8/7/2016,52
8/14/2016,52
8/21/2016,55
8/28/2016,54
9/4/2016,52
9/11/2016,52
9/18/2016,50
9/25/2016,49
10/2/2016,48
10/9/2016,50
10/16/2016,53
10/23/2016,52
10/30/2016,50
11/6/2016,49
11/13/2016,59
11/20/2016,80
11/27/2016,84
12/4/2016,76
12/11/2016,81
12/18/2016,78
12/25/2016,73
1/1/2017,63
1/8/2017,60
1/15/2017,57
1/22/2017,55
1/29/2017,55
2/5/2017,52
2/12/2017,50
2/19/2017,53
2/26/2017,54
3/5/2017,54
3/12/2017,54
3/19/2017,53
3/26/2017,54
4/2/2017,54
4/9/2017,53
4/16/2017,53
4/23/2017,57
4/30/2017,58
5/7/2017,58
5/14/2017,56
5/21/2017,56
5/28/2017,56
6/4/2017,57
6/11/2017,61
6/18/2017,61
6/25/2017,58
7/2/2017,60
7/9/2017,78
7/16/2017,61
7/23/2017,62
7/30/2017,64
8/6/2017,64
8/13/2017,64
8/20/2017,61
8/27/2017,63
9/3/2017,60
9/10/2017,58
9/17/2017,60
9/24/2017,60
10/1/2017,59
10/8/2017,60
10/15/2017,62
10/22/2017,65
10/29/2017,60
11/5/2017,65
11/12/2017,70
11/19/2017,89
11/26/2017,94
12/3/2017,85
12/10/2017,90
12/17/2017,89
12/24/2017,83
12/31/2017,71
1/7/2018,66
1/14/2018,67
1/21/2018,63
1/28/2018,63
2/4/2018,62
2/11/2018,58
2/18/2018,60
2/25/2018,63
3/4/2018,61
3/11/2018,61
3/18/2018,61
3/25/2018,62
4/1/2018,60
4/8/2018,58
4/15/2018,58
4/22/2018,60
4/29/2018,58
5/6/2018,58
5/13/2018,58
5/20/2018,58
5/27/2018,60
6/3/2018,59
6/10/2018,61
6/17/2018,59
6/24/2018,59
7/1/2018,61
7/8/2018,64
7/15/2018,88
7/22/2018,63
7/29/2018,64
8/5/2018,63
8/12/2018,63
8/19/2018,63
8/26/2018,62
9/2/2018,62
9/9/2018,59
9/16/2018,59
9/23/2018,57
9/30/2018,61
10/7/2018,61
10/14/2018,60
10/21/2018,60
10/28/2018,60
11/4/2018,62
11/11/2018,70
11/18/2018,84
11/25/2018,88
12/2/2018,81
12/9/2018,87
12/16/2018,86
12/23/2018,76
12/30/2018,67
1/6/2019,64
1/13/2019,62
1/20/2019,60
1/27/2019,59
2/3/2019,58
2/10/2019,60
2/17/2019,60
2/24/2019,59
3/3/2019,62
3/10/2019,59
3/17/2019,59
3/24/2019,59
3/31/2019,59
4/7/2019,59
4/14/2019,59
4/21/2019,59
4/28/2019,61
5/5/2019,61
5/12/2019,62
5/19/2019,63
5/26/2019,64
6/2/2019,65
6/9/2019,67
6/16/2019,67
6/23/2019,67
6/30/2019,64
7/7/2019,69
7/14/2019,92
7/21/2019,68
7/28/2019,66
8/4/2019,66
8/11/2019,69
8/18/2019,73
8/25/2019,69
9/1/2019,63
9/8/2019,64
9/15/2019,64
9/22/2019,64
9/29/2019,66
10/6/2019,67
10/13/2019,66
10/20/2019,71
10/27/2019,68
11/3/2019,72
11/10/2019,75
11/17/2019,77
11/24/2019,94
12/1/2019,100
12/8/2019,94
12/15/2019,95
12/22/2019,85
12/29/2019,75
1/5/2020,69
1/12/2020,68
1/19/2020,67
1/26/2020,66
