School,StudiumSize
Air Force,52237
Akron,30000
Alabama,101821
Alabama at Birmingham,0
Appalachian State,24150
Arizona,56037
Arizona State,56232
Arkansas,76800
Arkansas State,30964
Army,38000
Auburn,87451
Ball State,22500
Baylor,50000
Boise State,37000
Boston College,44500
Bowling Green,23724
Brigham Young,0
Buffalo,29013
California,62717
Central Florida,45323
Central Michigan,30255
Charlotte,15314
Cincinnati,40000
Clemson,81500
Coastal Carolina,0
Colorado,53750
Colorado State,34400
Connecticut,40000
Duke,33941
East Carolina,50000
Eastern Michigan,30200
Florida,88548
Florida Atlantic,30000
Florida International,23500
Florida State,79560
Fresno State,41031
Georgia,92746
Georgia Southern,24300
Georgia State,28155
Georgia Tech,82300
Hawaii,50000
Houston,40000
Illinois,60670
Indiana,52959
Iowa,70585
Iowa State,61000
Kansas,50071
Kansas State,50000
Kent State,25319
Kentucky,61000
Liberty,0
Louisiana Tech,30600
Louisiana-Lafayette,31000
Louisiana-Monroe,30427
Louisville,55000
LSU,102321
Marshall,38019
Maryland,54000
Massachusetts,68756
Memphis,62380
Miami (Fla.),65326
Miami (Ohio),24286
Michigan,107601
Michigan State,75005
Middle Tennessee,31000
Minnesota,50805
Mississippi,58580
Mississippi State,64038
Missouri,71004
Navy,34000
Nebraska,85458
Nevada,29993
Nevada-Las Vegas,36800
New Mexico,39224
New Mexico State,30343
North Carolina,63000
North Carolina State,57583
North Texas,30850
Northern Illinois,24000
Northwestern,47130
Notre Dame,80795
Ohio,24000
Ohio State,102082
Oklahoma,86112
Oklahoma State,60218
Old Dominion,20118
Oregon,54000
Oregon State,45674
Penn State,106572
Pittsburgh,65500
Purdue,62500
Rice,47000
Rutgers,52454
San Diego State,70561
San Jose State,30456
South Alabama,40646
South Carolina,80250
South Florida,65857
Southern California,93607
Southern Methodist,32000
Southern Mississippi,36000
Stanford,50000
Syracuse,49262
Tennessee,102455
Texas,100119
Texas A&M,102733
Texas Christian,45000
Texas State,30000
Texas Tech,60862
Texas-El Paso,51500
Texas-San Antonio,65000
Toledo,26248
Troy,30000
Tulane,30000
Tulsa,35542
UCLA,90888
Utah,45017
Utah State,25513
Vanderbilt,40550
Virginia,61500
Virginia Tech,65632
Wake Forest,31500
Washington,70138
Washington State,35117
West Virginia,60000
Western Kentucky,22113
Western Michigan,30200
Wisconsin,80321
Wyoming,29181
