School,Con_W,Con_L,Total_W,Total_L,Total_WinLoss_Ratio,Con_Winloss_Ratio
Clemson,8,0,14,1,0.933333333,1
Louisville,5,3,8,5,0.615384615,0.625
Wake Forest,4,4,8,5,0.615384615,0.5
Boston College,4,4,6,7,0.461538462,0.5
Florida State,4,4,6,7,0.461538462,0.5
Syracuse,2,6,5,7,0.416666667,0.25
North Carolina State,1,7,4,8,0.333333333,0.125
Virginia,6,2,9,5,0.642857143,0.75
Virginia Tech,5,3,8,5,0.615384615,0.625
Pittsburgh,4,4,8,5,0.615384615,0.5
North Carolina,4,4,7,6,0.538461538,0.5
Miami (Fla.),4,4,6,7,0.461538462,0.5
Duke,3,5,5,7,0.416666667,0.375
Georgia Tech,2,6,3,9,0.25,0.25
Memphis,7,1,12,2,0.857142857,0.875
Navy,7,1,11,2,0.846153846,0.875
Southern Methodist,6,2,10,3,0.769230769,0.75
Tulane,3,5,7,6,0.538461538,0.375
Houston,2,6,4,8,0.333333333,0.25
Tulsa,2,6,4,8,0.333333333,0.25
Cincinnati,7,1,11,3,0.785714286,0.875
Central Florida,6,2,10,3,0.769230769,0.75
Temple,5,3,8,5,0.615384615,0.625
South Florida,2,6,4,8,0.333333333,0.25
East Carolina,1,7,4,8,0.333333333,0.125
Connecticut,0,8,2,10,0.166666667,0
Oklahoma,8,1,12,2,0.857142857,0.888888889
Baylor,8,1,11,3,0.785714286,0.888888889
Kansas State,5,4,8,5,0.615384615,0.555555556
Oklahoma State,5,4,8,5,0.615384615,0.555555556
Texas,5,4,8,5,0.615384615,0.555555556
Iowa State,5,4,7,6,0.538461538,0.555555556
Texas Christian,3,6,5,7,0.416666667,0.333333333
West Virginia,3,6,5,7,0.416666667,0.333333333
Texas Tech,2,7,4,8,0.333333333,0.222222222
Kansas,1,8,3,9,0.25,0.111111111
Ohio State,9,0,13,1,0.928571429,1
Penn State,7,2,11,2,0.846153846,0.777777778
Michigan,6,3,9,4,0.692307692,0.666666667
Indiana,5,4,8,5,0.615384615,0.555555556
Michigan State,4,5,7,6,0.538461538,0.444444444
Maryland,1,8,3,9,0.25,0.111111111
Rutgers,0,9,2,10,0.166666667,0
Minnesota,7,2,11,2,0.846153846,0.777777778
Wisconsin,7,2,10,4,0.714285714,0.777777778
Iowa,6,3,10,3,0.769230769,0.666666667
Illinois,4,5,6,7,0.461538462,0.444444444
Nebraska,3,6,5,7,0.416666667,0.333333333
Purdue,3,6,4,8,0.333333333,0.333333333
Northwestern,1,8,3,9,0.25,0.111111111
Florida Atlantic,7,1,11,3,0.785714286,0.875
Western Kentucky,6,2,9,4,0.692307692,0.75
Marshall,6,2,8,5,0.615384615,0.75
Charlotte,5,3,7,6,0.538461538,0.625
Florida International,3,5,6,7,0.461538462,0.375
Middle Tennessee,3,5,4,8,0.333333333,0.375
Old Dominion,0,8,1,11,0.083333333,0
Louisiana Tech,6,2,10,3,0.769230769,0.75
Alabama at Birmingham,6,2,9,5,0.642857143,0.75
Southern Mississippi,5,3,7,6,0.538461538,0.625
North Texas,3,5,4,8,0.333333333,0.375
Texas-San Antonio,3,5,4,8,0.333333333,0.375
Rice,3,5,3,9,0.25,0.375
Texas-El Paso,0,8,1,11,0.083333333,0
Notre Dame,0,0,11,2,0.846153846,0
Liberty,0,0,8,5,0.615384615,0
Brigham Young,0,0,7,6,0.538461538,0
Army,0,0,5,8,0.384615385,0
New Mexico State,0,0,2,10,0.166666667,0
Massachusetts,0,0,1,11,0.083333333,0
Miami (Ohio),6,2,8,6,0.571428571,0.75
Buffalo,5,3,8,5,0.615384615,0.625
Kent State,5,3,7,6,0.538461538,0.625
